"Activity Score","When","Type","Sport Type","Gear","Name","Dist mi","Elv ft","Total Explorer Tiles","New Explorer Tiles","Elapsed Time","Moving Time","Start Time","Day of Week","Speed mph","Max Speed mph","Pace /mi","Elapsed Time Pace /mi","Max Pace /mi","Pace /100yds","Max Pace /100yds","Pwr W","Weighted Avg Pwr W","Max Pwr W","Power Meter","Cad","Heart","Max Heart","Elv High ft","Elv Low ft","Efficiency %","Elev/Dist ft/mi","Elev/Time ft/h","W/HR","Speed/HR","Temp °C","Cal","Energy kJ","Segs","PRs","Group Size","Kudos","Comments","Photos","Com","Trn","Man","Pri","Visibility","Dist away mi","Dist start to end mi","Activity Score 25%","Training Load","Intensity %","Relative Effort","Points in red","% in red","Segment PRs (K/QOM positions)","All segments (personal positions)","Ride/Run Type","400m","1 km","5 km","10 km","15 km","20 km","30 km","50 km","1/2 Mile","1 mile","2 mile","10 mile","Half Marathon","Marathon","Perceived Effort","H/R Zone 1","H/R Zone 2","H/R Zone 3","H/R Zone 4","H/R Zone 5","Power 0W","Power 0-50W","Power 50-100W","Power 100-150W","Power 150-200W","Power 200-250W","Power 250-300W","Power 300-350W","Power 350-400W","Power 400-450W","Power 450W+","Pace Zone 1","Pace Zone 2","Pace Zone 3","Pace Zone 4","Pace Zone 5","Pace Zone 6","Flagged","Description","Explorer Tiles calculated","Device/App","Activity Id","Last Changed","Last Synced","Month","Has Map","Activity Id"
27.272727272727273,"2026-04-05 17:47:10","VirtualRun","VirtualRun","HOKA Bondi 8","Zwift - Loch Loop Run in Scotland",3254.6,0,4,,2038,2034,64030,"Sunday",1.6001,1.65,1005.84,1007.7712128,975.3590246400001,57.15,55.418126400000006,0,0,,0,0,116.2,139,1,0,99.80372914622178,0,0,0,0.0308,,116,0,1,0,1,2,0,1,0,1,0,0,"Everyone",-1,1023.1464327763762,27.272727272727273,,,8,0,0,,,"",,,,,,,,,,,,,,,,921,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,,2034,0,0,0,0,0,0,"",0,"Zwift Run",17992699693,2026-04-05,2026-04-05,"April",1,17992699693
49.275362318840585,"2026-04-04 10:11:35","Ride","GravelRide","Grailled cheese","Mo Gritty 50",78400.4,1418,40,2,23136,16854,36695,"Saturday",4.6517,17.74,346.00896,474.9174144,90.71872128000001,19.659599999999998,5.1544728,125.1,149,555,1,67.2,137.4,162,424.2,279.6,72.84751037344398,18.09,302.9,1.084,0.0757,27,2502,2104.6,23,17,5,25,0,1,0,0,0,0,"Everyone",-1,102.3961808787817,61.111111111111114,246.8735537918871,70.95238095238095,284,1,0.352112676056338,,,"Race",,,,,,,,,,,,,,,,154,10045,6577,78,0,4716,470,699,3374,3931,2325,883,308,95,32,21,0,0,0,0,0,0,0,"‍walked so much I'm missing 2 miles lol 😂 🎷🐛 47.94 new miles -- From Wandrer",0,"Garmin Edge 830",17979957987,2026-04-04,2026-04-05,"April",1,17979957987
48.51851851851852,"2026-04-03 17:24:54","VirtualRun","VirtualRun","HOKA Bondi 8","Zwift - Flat Irons in New York",3253.8,0,2,,1983,1978,62694,"Friday",1.645,1.9,978.3202176,980.7342336000002,847.0299340800001,55.586376,48.1267008,0,0,,0,0,94.4,106,1,0,99.74785678265255,0,0,0,0.039,,116,0,3,0,1,4,0,1,0,1,0,0,"Everyone",-1,157.7146393999512,55.55555555555556,,,4,0,0,,,"",,,,,,,,,,,,,,,,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1978,0,0,0,0,0,0,"",0,"Zwift Run",17967470209,2026-04-03,2026-04-05,"April",1,17967470209
35.611577964519135,"2026-04-02 20:32:27","VirtualRide","VirtualRide","Specialized Roubaix","Zwift - Group Ride: Stage 3 - The Zwift Big Spin",30881.5,178,7,,3616,3616,73947,"Thursday",8.5402,12.98,188.4541824,188.4541824,123.98386176,10.707624,7.0445376,141.6,143,253,1,82.3,124.2,137,14,1.6,100,5.76,177.2,1.151,0.1538,,490,511.9,7,1,9,3,0,3,0,1,0,0,"Everyone",-1,4313.635002813556,66.66666666666666,46.575701688082646,68.0952380952381,21,0,0,,,"",,,,,,,,,,,,,,,,18,3598,0,0,0,16,3,76,2377,1081,62,1,0,0,0,0,0,0,0,0,0,0,0,"🗺️ Southern Coast Cruise in Watopia",0,"Zwift",17956773607,2026-04-03,2026-04-05,"April",1,17956773607
55.30335439961108,"2026-04-01 19:32:07","VirtualRun","VirtualRun","HOKA Bondi 8","Zwift - That's Amore in Watopia",4248.1,0,2,,2104,2100,70327,"Wednesday",2.0229,2.2,795.4987392,797.1080832,731.5273152000001,45.198792,41.564052,0,0,,0,75.4,120.9,136,1,0,99.80988593155894,0,0,0,0.0374,,233,0,11,0,1,3,0,1,0,1,0,0,"Everyone",-1,753.7114437950952,60.666666666666664,,,11,0,0,,,"",,,,,,,,,,,,,,,,621,1479,0,0,0,0,0,0,0,0,0,0,0,0,0,,2100,0,0,0,0,0,0,"",0,"Zwift Run",17944306341,2026-04-02,2026-04-05,"April",1,17944306341
35.94160785941608,"2026-03-31 12:11:34","VirtualRide","VirtualRide","Specialized Roubaix","Zwift - Pacer Group Ride with Bernie",19539.6,73,2,,2252,2252,43894,"Tuesday",8.6766,11.54,185.5573632,185.5573632,139.46575104000001,10.543032,7.9241904,140.5,143,238,1,81.6,113.6,126,64.6,51.6,100,3.74,116.7,1.259,0.1709,,304,316.4,11,1,4,3,0,3,0,1,0,0,"Everyone",-1,626.2950012837075,56.278538812785385,29.00676996724616,68.0952380952381,8,0,0,,,"",,,,,,,,,,,,,,,,446,1806,0,0,0,6,0,119,1407,701,19,0,0,0,0,0,0,0,0,0,0,0,0,"🗺️ Richmond Rollercoaster in Richmond",0,"Zwift",17927240538,2026-03-31,2026-04-05,"March",1,17927240538
0,"2026-03-30 20:04:17","VirtualRun","VirtualRun","HOKA Bondi 8","Zwift - Titan's Run in Watopia",2017.4,0,2,,1232,1227,72257,"Monday",1.6442,1.68,978.8030208,982.8263808,957.94592256,55.61380799999999,54.4287456,0,0,,0,0,93.2,105,1,0,99.59415584415585,0,0,0,0.0395,,71,0,0,0,1,2,0,1,0,1,0,0,"Everyone",-1,773.9043013878485,0,,,2,0,0,,,"",,,,,,,,,,,,,,,,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1227,0,0,0,0,0,0,"",0,"Zwift Run",17919123937,2026-03-31,2026-04-05,"March",1,17919123937
41.77182660037661,"2026-03-29 12:18:49","Ride","GravelRide","Grailled cheese","Out and about",81168.8,314,34,0,25285,13857,44329,"Sunday",5.8576,14.7,274.7150208,501.310656,109.48367232,15.608807999999998,6.220663199999999,127.8,143,707,1,66.4,117.8,150,263.4,184,54.803243029464106,3.87,81.6,1.214,0.1112,15,2076,1753.8,21,1,3,12,0,2,0,0,0,0,"Everyone",-1,4.529480890152924,71.47337045762833,188.7887333081381,68.0952380952381,71,0,0,,,"",,,,,,,,,,,,,,,,2645,11032,180,0,0,3110,581,737,3995,3282,1075,464,245,173,102,93,0,0,0,0,0,0,0,"‍5.53 new miles -- From Wandrer",1,"Garmin Edge 830",17907096861,2026-03-29,2026-03-29,"March",1,17907096861
